run_id,name,N,J,noise,periodic,beta,gamma,mean_degree,first_moment,second_moment,r_mean,dyson_beta,alpha,Tc,gap0,ipr,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
20260427_202748_713808,SD,3990,1.0,1e-10,False,1.21,2.21,15,15.98796992481203,1522.4325814536342,0.529754628222803,0.6943614510055165,1.603798064308278,93.87031735420918,11781.609746548913,0.016214143680719068,0.015457280467674087,31.49874686716792,1,1.0
20260427_202803_095325,SD,3995,1.0,1e-10,False,1.21,2.21,15,15.802252816020024,1481.8743429286608,0.5277695506932152,0.738940434714913,1.6037683831634062,92.42826842992653,11962.816366791261,0.015588774012029308,0.01605725318236923,31.945,1,1.0
20260427_202818_386105,SD,3996,1.0,1e-10,False,1.21,2.21,15,15.76876876876877,1493.493993993994,0.5312356615003012,0.8619866917834871,1.6038321226584065,94.32211881618684,12787.079223153492,0.01657828369545884,0.015095063810423233,32.21,1,1.0
20260427_202832_545614,SD,3993,1.0,1e-10,False,1.21,2.21,15,15.85624843476083,1496.8059103431003,0.5354137418242858,0.7556616222067639,1.6037618670520952,92.14371568641495,12588.417628324922,0.01684554754077388,0.014866733560367698,31.13,1,1.0
20260427_202848_393287,SD,3990,1.0,1e-10,False,1.21,2.21,15,15.949874686716791,1522.716290726817,0.5400415395024015,0.930781556606614,1.6038039459683964,94.018901939202,12343.185905547327,0.01605113508194347,0.015614258127948808,31.86466165413534,1,1.0
20260427_202903_393422,SD,3993,1.0,1e-10,False,1.21,2.21,15,15.876784372652141,1509.2421738041573,0.5216852450646146,0.7307613026150277,1.6038232739307248,94.38416149301743,12454.603453468651,0.016084119600445042,0.015570530012737723,32.4,1,1.0
20260427_202917_291387,SD,3996,1.0,1e-10,False,1.21,2.21,15,15.577577577577578,1491.022022022022,0.5281482556629913,0.9373515672468081,1.603801891702015,92.81483584408575,12399.760744513816,0.016588324750952198,0.015085926638606799,31.17,1,1.0
20260427_202931_345297,SD,3993,1.0,1e-10,False,1.21,2.21,15,15.944402704733283,1501.5477084898573,0.5287192113699081,0.8198495858742109,1.6037665806935921,92.59057390854458,12618.012619052166,0.01634300060379305,0.015323885315715421,31.49,1,1.0
20260427_202945_687855,SD,3992,1.0,1e-10,False,1.21,2.21,15,15.871743486973948,1505.1417835671343,0.5280800855624274,1.0213435861601488,1.6038031601111382,93.50100794655974,12627.018140349552,0.01901726710010875,0.013172292353330596,31.15,1,1.0
20260427_202959_913776,SD,3991,1.0,1e-10,False,1.21,2.21,15,15.89376096216487,1527.6742671009772,0.535384855540153,0.8393799298970244,1.6038422511291786,94.97344565687179,12404.798240904493,0.017086928872568855,0.014664061069589276,31.924812030075188,1,1.0
20260427_203014_781183,SD,3994,1.0,1e-10,False,1.21,2.21,15,15.816224336504757,1487.5242864296445,0.539421317964679,0.9560456339437342,1.6038273978477704,94.13182975598706,13044.55389840883,0.018442629539305207,0.013575914584816303,30.815,1,1.0
20260427_203029_370999,SD,3991,1.0,1e-10,False,1.21,2.21,15,15.829616637434228,1532.2335254322225,0.5309371995522559,0.7906215762792349,1.603842913546606,94.75369786904723,12586.05927749012,0.01747083033049904,0.014341835146877117,31.764411027568922,1,1.0
20260427_203043_199078,SD,3993,1.0,1e-10,False,1.21,2.21,15,15.944402704733283,1523.3749060856499,0.530919508413414,0.838195204709698,1.6038135566412535,94.07818371511577,12499.017938801508,0.017447784603415117,0.014353585435607304,31.765,1,1.0
20260427_203057_548566,SD,3992,1.0,1e-10,False,1.21,2.21,15,15.870240480961924,1493.9163326653306,0.5344388492282852,0.9737068703436136,1.6037756963106922,92.63858347620682,12168.273555767168,0.01791192757753163,0.013985150449035508,31.52,1,1.0
20260427_203112_046414,SD,3992,1.0,1e-10,False,1.21,2.21,15,15.899298597194388,1513.0120240480962,0.5271257832107983,0.8099994362880832,1.6037939268022512,93.3580790119086,12560.333189958576,0.016531925823334407,0.015152560245003763,31.885,1,1.0
20260427_205320_768913,SD,4000,1.0,1e-10,False,8.01,8.01,15,14.2995,224.903,0.38472821319056083,-0.1512282320457898,1.585577755933606,34.16740863665736,346.968304203522,0.03085768263466458,0.008101710130337449,15.6,3,0.9675
20260427_205333_395578,SD,4000,1.0,1e-10,False,8.01,8.01,15,14.138,218.0735,0.3953130241678865,-0.1784109670200444,1.5663782452699013,27.24415961776021,299.6118897060051,0.035907461061481946,0.006962341324326488,14.245,5,0.785
20260427_205346_023888,SD,4000,1.0,1e-10,False,8.01,8.01,15,14.326,224.989,0.3922295616110991,-0.10897468547746604,1.5801193821329087,31.23893201357954,434.3735194534848,0.030763636926925367,0.008126477392573555,15.48,3,0.82
20260427_205358_653829,SD,4000,1.0,1e-10,False,8.01,8.01,15,14.29,223.874,0.3938515203057016,-0.14604430627513978,1.571109810251326,28.550860961322627,327.5632007261756,0.0301641697156924,0.00828797882906559,14.31,2,0.99
20260427_205413_506279,SD,4000,1.0,1e-10,False,8.01,8.01,15,14.4195,228.7555,0.3858055506859095,-0.1561125350426176,1.5864560873528843,33.896472305799406,1782.3825592142234,0.030805417189452806,0.008115455748010298,15.28,3,0.9425
20260427_205428_220774,SD,4000,1.0,1e-10,False,8.01,8.01,15,14.3335,224.651,0.3980070145659449,-0.10682028361120019,1.5556438946155946,26.51413858692316,146.95404438011013,0.03772743543232196,0.0066264774463259506,15.56,1,1.0
20260427_205441_149785,SD,4000,1.0,1e-10,False,8.01,8.01,15,14.4605,231.3295,0.3991909692414873,-0.11072036620728887,1.5868894270904261,34.45286315049669,1474.439250764976,0.032370829211797285,0.007723002656629183,14.975,7,0.7075
20260427_205454_015175,SD,4000,1.0,1e-10,False,8.01,8.01,15,14.2505,222.912,0.38611916211593716,-0.12397500337280168,1.5791534856420568,30.77304385885047,494.80673655325995,0.027283681678393047,0.00916298624748962,15.675,2,0.9875
20260427_205508_711871,SD,4000,1.0,1e-10,False,8.01,8.01,15,14.2785,222.2925,0.39624315474288646,-0.15369130179141852,1.569334484553151,27.71741327369646,86.53312365377687,0.03277120074032155,0.007628649373606901,14.761904761904763,2,0.9323308270676691
20260427_205523_619204,SD,4000,1.0,1e-10,False,8.01,8.01,15,14.3065,224.26,0.4000994894830779,-0.1464518676227081,1.5779880266921267,29.89899097997414,1045.4381087945715,0.025326083461985664,0.009871245997244258,15.19,2,0.975
20260427_205537_224985,SD,3917,1.0,1e-10,False,8.01,8.01,15,14.403880520806739,228.9537911667092,0.3891167105255396,-0.16546377951736202,1.5796770471771648,31.118739883107857,823.6151633376941,0.03238487420181653,0.007883230297733341,15.724489795918368,4,0.8418367346938775
20260427_205553_518564,SD,4000,1.0,1e-10,False,8.01,8.01,15,14.124,217.628,0.40351101489886987,-0.0719785322335343,1.5785048413142475,30.80152823800506,278.98445055940164,0.03285348897955863,0.007609541871049052,13.77,10,0.7875
20260427_205607_249582,SD,4000,1.0,1e-10,False,8.01,8.01,15,14.2595,222.45,0.391389610129366,-0.15832718460832967,1.569557086046432,28.761388759792922,84.78951505994748,0.0335136931926315,0.007459637425306691,15.145,2,0.97
20260427_205621_874585,SD,4000,1.0,1e-10,False,8.01,8.01,15,14.273,223.8375,0.3854631256729166,-0.08614205264334938,1.5769618151504399,29.987461587772632,769.6267309894046,0.030835344097918924,0.008107579380535353,15.095,4,0.8125
20260427_205635_018797,SD,4000,1.0,1e-10,False,8.01,8.01,15,14.246,221.329,0.39772404177813686,-0.15750447675978993,1.5654179301396958,26.923776139685227,472.77551082357877,0.030135688984705908,0.008295811657960662,15.465,1,1.0
20260427_210036_694356,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.039,214.6655,0.38427705520824124,-0.09974256868476629,1.5718037395185631,28.29204780790002,430.7722460795905,0.03629247260319243,0.006888480780392158,15.02,6,0.675
20260427_210054_105848,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.04,215.619,0.39009931735320524,-0.1623042662376893,1.5790708162631144,30.246162455720008,661.7349257057833,0.033215299721999964,0.007526651937282201,15.58,2,0.995
20260427_210107_724469,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.1395,218.2105,0.396116524317141,-0.11905774679483483,1.5569905935275452,25.92144829447646,187.16559459173152,0.030168812693644402,0.008286703309761572,14.99,1,1.0
20260427_210122_332050,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.101,217.1915,0.3931811736443497,-0.10648989848380118,1.566312046851964,27.289486509699604,273.99943724532386,0.031650255333610273,0.007898830431693805,15.08,2,0.97
20260427_210135_305854,SD,3804,1.0,1e-10,False,10.01,8.01,15,14.06782334384858,216.83333333333334,0.3964551005675415,-0.11921143362262861,1.5742733297921125,28.958521736956847,329.4390437698006,0.023427061149387265,0.01122126143058929,15.202099737532809,3,0.8818897637795275
20260427_210146_628750,SD,3731,1.0,1e-10,False,10.01,8.01,15,14.172071830608417,220.33824711873493,0.39369881162443215,-0.18193784400708599,1.5758686109263444,27.628022398770305,42.23541318688886,0.031594465824398746,0.008483278677925275,14.659517426273458,2,0.9222520107238605
20260427_210200_049807,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.083,217.0315,0.3959654075653815,-0.13258026074672524,1.563362901991241,25.937122700114006,51.46237748024178,0.03295627458789255,0.007585808867239042,14.85,1,1.0
20260427_210213_500150,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.127,219.346,0.38682722273872716,-0.13715118955231895,1.579701463654096,31.744374733068437,312.7494290425267,0.033134136829224746,0.00754508865851899,14.675,7,0.8425
20260427_210230_239436,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.0485,215.7315,0.38872766751440213,-0.11580091951549522,1.5709806366107457,28.482118367549056,297.2472151103939,0.03553651694955808,0.0070350169757733925,15.01,4,0.8025
20260427_210241_949662,SD,3740,1.0,1e-10,False,10.01,8.01,15,14.2951871657754,226.39304812834226,0.38714431821517614,-0.14813918491101677,1.5861035481563193,33.99456363174215,755.2127754448405,0.02902920853195408,0.009210711992029174,15.491978609625669,4,0.7994652406417112
20260427_210257_853829,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.138,218.929,0.3945566175440377,-0.1308839431728742,1.5757578443448403,29.45635051140107,303.83143215025535,0.02681725104218148,0.009322357448448731,15.405,2,0.86
20260427_210312_579266,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.2745,223.908,0.3925905072450619,-0.11930663632627757,1.574406234981607,29.247103283255797,567.2512268934025,0.02973599402489151,0.008407319418706136,15.3,4,0.7575
20260427_210327_033928,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.08,218.1875,0.39868087242395817,-0.12259459036022917,1.581383202446418,31.87582638704141,345.21941867288473,0.03604579346782045,0.006935622050411657,13.275,11,0.7275
20260427_210344_052223,SD,3709,1.0,1e-10,False,10.01,8.01,15,14.259908331086546,224.66217309247776,0.3907538060932056,-0.12527129540159734,1.5837606347901871,32.38699445813162,745.3871464299215,0.02931248603886237,0.009197938754738778,15.789757412398922,1,1.0
20260427_210405_140090,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.138,220.832,0.387405545922874,-0.13399035936320314,1.5877944540989526,34.42189575322442,1537.740810672693,0.031191247284331546,0.008015069026290069,15.235,8,0.6525
20260428_101745_707657,SD,3964,1.0,1e-10,False,10.01,2.21,15,16.091321897073662,2730.9298688193744,0.48876561349702,0.37739229384648404,1.6044116639273813,132.05481662024758,24252.368718121335,0.01723418181447271,0.01463779578403297,43.249370277078086,1,1.0
20260428_101810_623010,SD,3971,1.0,1e-10,False,10.01,2.21,15,16.077562326869806,2732.290606900025,0.4986960912279584,0.29950182146529786,1.6043527737872858,128.65142847338748,21613.89559411162,0.01732765462795171,0.014533169202487024,43.00755667506297,1,1.0
20260428_101837_070181,SD,3965,1.0,1e-10,False,10.01,2.21,15,16.029760403530894,2717.3301387137453,0.497491850913506,0.31615125626029816,1.604362825862851,129.0526666737734,21387.981849166856,0.017698723560006967,0.014249999935235977,43.3198992443325,1,1.0
20260428_101857_033483,SD,3958,1.0,1e-10,False,10.01,2.21,15,16.166245578575037,2694.1086407276402,0.4987094587125517,0.29179005448659473,1.604352196741997,128.19977366382713,22147.786221089034,0.016647737168073985,0.015176408206502894,43.13131313131313,1,1.0
20260428_101914_955954,SD,3984,1.0,1e-10,False,10.01,2.21,15,15.923192771084338,2657.9588353413656,0.5119697873358086,0.35570272372874395,1.6043668115052034,129.16442134297597,23388.09700110924,0.016528392774837176,0.015186232532323743,42.54135338345865,1,1.0
20260428_101934_121478,SD,3958,1.0,1e-10,False,10.01,2.21,15,16.05912076806468,2711.9408792319355,0.5050968696316032,0.3937544152560758,1.6043765898350786,128.99120743633574,24376.303841202156,0.016107853139916375,0.01568507316168472,42.505050505050505,1,1.0
20260428_101952_686511,SD,3980,1.0,1e-10,False,10.01,2.21,15,15.98643216080402,2652.9959798994973,0.505120380606713,0.4117913643434136,1.6043506848988887,127.94644683160902,23137.98270650113,0.016645073339653885,0.015094933875026096,42.31658291457286,1,1.0
20260428_102010_274065,SD,3984,1.0,1e-10,False,10.01,2.21,15,16.01957831325301,2665.531626506024,0.5036374738760538,0.3115585994880789,1.6043604506093616,129.14972421513113,22566.659281052394,0.018541887530777713,0.013537133997151854,42.446115288220554,1,1.0
20260428_102029_424838,SD,3990,1.0,1e-10,False,10.01,2.21,15,15.937844611528822,2658.1303258145363,0.5058797416883992,0.3338171763542438,1.604338909685529,127.65811546909848,22043.7420265817,0.015286989054618649,0.016394763253939692,43.08771929824562,1,1.0
20260428_102051_932756,SD,3957,1.0,1e-10,False,10.01,2.21,15,15.959059893858985,2651.85746777862,0.5004465796044594,0.4333474314205733,1.6043814783077621,129.0546991373768,22933.334348009845,0.017033790817172982,0.014836198664562122,42.95454545454545,1,1.0
20260428_102114_540565,SD,3978,1.0,1e-10,False,10.01,2.21,15,15.820512820512821,2661.134238310709,0.5139884816390389,0.3286275580389669,1.6043558448697717,127.75653102194136,21962.069626381417,0.01601884762496955,0.015692926870216024,42.41206030150754,1,1.0
20260428_102133_548263,SD,3984,1.0,1e-10,False,10.01,2.21,15,16.03413654618474,2650.1962851405624,0.5105087054678443,0.369657695174091,1.6043339834464039,127.75002599415728,22394.33095957354,0.015090616950401864,0.016633118240906165,43.07268170426065,1,1.0
20260428_102154_139332,SD,3972,1.0,1e-10,False,10.01,2.21,15,15.98036253776435,2669.913897280967,0.5026530532268647,0.2812027808103903,1.6043393310888159,127.15753616751884,21553.45391256474,0.015584711242877951,0.016154443443380066,42.70854271356784,1,1.0
20260428_102215_760617,SD,3974,1.0,1e-10,False,10.01,2.21,15,15.940613990941117,2621.6311021640663,0.4916127506786992,0.298827460039707,1.6043585416022474,128.4490909746201,21950.03559551343,0.017431054883801415,0.014436052968846936,42.45728643216081,1,1.0
20260428_102237_547371,SD,3971,1.0,1e-10,False,10.01,2.21,15,15.876605389070763,2693.0803324099725,0.5000803320899131,0.3130866543973562,1.6043824013699817,129.64782173555875,22483.96366966202,0.015898737361858137,0.015839354463104853,43.46599496221663,1,1.0
20260428_103411_434730,SD,4000,1.0,1e-10,False,1.21,8.01,15,15.073,247.5925,0.5259313981672228,0.9710813640263426,1.5819490119809667,23.267858738270238,487.4931006196414,0.0020831996905004415,0.12000769832101078,12.015,1,1.0
20260428_103430_183107,SD,4000,1.0,1e-10,False,1.21,8.01,15,15.028,245.5035,0.5179483741964486,0.8625433271415789,1.5798033156533684,22.325516939682743,500.9019814712435,0.0005430593195655634,0.460354865468463,8.32,3,0.995
20260428_103448_347384,SD,4000,1.0,1e-10,False,1.21,8.01,15,15.0535,246.7125,0.5290542629633521,0.9153146591696422,1.5795702595249155,22.31698585061072,409.8880913258038,0.0005600217592435793,0.4464112257667893,8.265,4,0.9875
20260428_103506_434424,SD,4000,1.0,1e-10,False,1.21,8.01,15,14.9525,244.9255,0.535598006689178,0.7988180198143326,1.5803668923308152,22.602791369558897,349.59779280503784,0.0007237229190542235,0.3454360687190967,10.555,2,0.9975
20260428_103523_930783,SD,4000,1.0,1e-10,False,1.21,8.01,15,15.094,248.694,0.5332194849387979,0.8535015290759332,1.5804905413180266,22.74935494819176,466.1307798602349,0.0007199194400860492,0.3472610768367617,9.565,3,0.995
20260428_103543_544457,SD,4000,1.0,1e-10,False,1.21,8.01,15,15.043,246.9075,0.5262445356168501,0.9770088507339573,1.5811759905336915,22.84325023196618,489.8148345487066,0.001272569391008177,0.19645294140065764,11.905,4,0.9925
20260428_103602_724297,SD,4000,1.0,1e-10,False,1.21,8.01,15,15.1445,250.031,0.5311988467968481,1.0918750049084183,1.579534087593628,22.64287189410189,433.3358875947809,0.000628183241786146,0.39797304889758284,9.835,2,0.9975
20260428_103621_780892,SD,4000,1.0,1e-10,False,1.21,8.01,15,14.9895,245.0375,0.5349446843560298,0.9725623495435862,1.5799194804177967,22.44157230439585,404.9277323345854,0.0008125214478708653,0.30768418563608513,9.93,2,0.9975
20260428_103639_848671,SD,4000,1.0,1e-10,False,1.21,8.01,15,14.979,243.6785,0.5323390350791111,0.9757527794732637,1.5790133076082553,22.085898391503132,427.833706649247,0.000490727878991406,0.5094473142912229,7.155,6,0.9875
20260428_103658_435861,SD,4000,1.0,1e-10,False,1.21,8.01,15,15.0185,245.9855,0.535063060486933,0.8009850891553786,1.579734937181325,22.47209093684031,408.070124513048,0.0005884540401547731,0.4248420147378814,8.605,2,0.9975
20260428_103717_186556,SD,4000,1.0,1e-10,False,1.21,8.01,15,15.046,246.877,0.5267405684830043,1.0004102349909856,1.5806343572351975,22.775115134475286,451.9462164720352,0.0011311878119234422,0.2210066245099534,11.88,3,0.9925
20260428_103736_657062,SD,4000,1.0,1e-10,False,1.21,8.01,15,15.064,247.405,0.5327085351950676,1.05687927199228,1.580040100920173,22.59590785207143,394.4529778833341,0.000650248393245666,0.3844684625088326,10.205,2,0.9975
20260428_103756_160042,SD,4000,1.0,1e-10,False,1.21,8.01,15,15.1345,249.33,0.5292296013420604,1.1074904559198882,1.5792833326226834,22.408853230387148,380.7939733051541,0.0005879382535604581,0.4252147202296173,8.55,5,0.9875
20260428_103814_375158,SD,4000,1.0,1e-10,False,1.21,8.01,15,14.839,239.5185,0.5293142130710576,0.9013726397980711,1.579116820677752,21.966675645873732,416.0528541067044,0.000497449535830662,0.5025635406062638,7.81,2,0.9975
20260428_103833_844194,SD,4000,1.0,1e-10,False,1.21,8.01,15,14.8215,239.262,0.521756271359514,1.16093151316297,1.5794261602066317,22.021015123942068,427.80993586674407,0.0005521928566837129,0.4527403731758087,7.96,2,0.9975
20260428_194709_817732,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.195,222.323,0.3832991394583395,-0.19620639736740278,1.5883630573844432,34.8411656582667,1344.5314666889944,0.032927371631327806,0.007592467531242143,14.045,10,0.65
20260428_194724_308736,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.035,214.9015,0.3923431899742602,-0.13527211023517044,2.1831276321794877,14.464040636690758,2.7590911696235976,0.033891690903465124,0.00737643927864454,15.27,2,0.765
20260428_194738_744241,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.0845,216.448,0.3983649401420227,-0.1244867476432282,1.710543906725227,22.164992223296615,8.965262271463878,0.03754178392350465,0.0066592466812286115,14.545,4,0.74
20260428_194752_829671,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.0555,216.1475,0.3959613467156181,-0.12807580025788812,1.5647781777849776,27.780914113809043,295.8674009829965,0.03798054269169417,0.006582317741728098,14.86,2,0.95
20260428_194807_256173,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.2335,223.5515,0.3942756843887153,-0.1399108373838307,1.5805975663247462,26.46877870311982,27.66790687574608,0.036131688761023545,0.006919134105618759,16.185,1,1.0
20260428_194825_399642,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.16,220.846,0.4058552729585793,-0.1521220343197526,1.5818184906891928,31.89771278315166,917.9068271567016,0.029684041521046707,0.008422033765946052,15.89,5,0.805
20260428_194839_392356,SD,4000,1.0,1e-10,False,10.01,8.01,15,14.0795,217.812,0.3856678328865794,-0.17709261816198985,1.5699836894795896,28.461584764630125,99.32567348421517,0.03371448288206873,0.0074152108716745045,14.74,4,0.8125
